,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
158,bastia,fr,42.7,9.45,15.0,2.1,62.0,0.0
159,altos del rosario,co,8.79,-74.16,23.69,0.73,100.0,56.0
161,illapel,cl,-31.63,-71.17,10.64,1.43,98.0,20.0
162,aragarcas,br,-15.9,-52.25,22.09,2.78,65.0,0.0
163,ayr,au,-19.58,147.4,26.69,5.53,82.0,36.0
164,shimoda,jp,34.7,138.93,21.0,9.3,64.0,20.0
165,kragujevac,rs,44.01,20.91,4.0,0.5,93.0,0.0
166,rondonopolis,br,-16.46,-54.64,20.84,0.73,88.0,8.0
167,ayacucho,pe,-13.16,-74.23,4.79,0.98,91.0,68.0
168,san matias,bo,-16.36,-58.4,23.94,1.38,83.0,8.0
169,nacala,mz,-14.56,40.69,25.69,5.93,100.0,0.0
170,gorontalo,id,0.54,123.06,28.29,1.13,83.0,88.0
171,iberia,pe,-11.41,-69.49,22.74,0.93,97.0,20.0
172,gueret,fr,46.17,1.87,15.0,1.5,54.0,0.0
173,miranda,br,-20.24,-56.38,23.29,1.23,81.0,0.0
174,shipitsyno,ru,61.28,46.52,-2.92,9.48,77.0,92.0
175,uramita,co,6.9,-76.17,19.09,0.08,98.0,92.0
176,peniche,pt,39.36,-9.38,15.0,3.1,87.0,20.0
177,kommunisticheskiy,ru,61.68,64.48,-6.72,1.53,70.0,48.0
178,gua musang,my,4.88,101.97,26.59,1.08,86.0,12.0
179,zaqatala,az,41.63,46.65,9.0,3.1,93.0,90.0
